date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:14	246270/246270	---M-Z	200	added ('OK')	text/javascript	etag:%226b4b76341b542780c4b94321a4ce93cf%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-51880dc0d7a0158c-min.en-US.js	C:/My%20Web%20Sites/squaremoon/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-51880dc0d7a0158c-min.en-US.js	(from https://www.squaremoon.ie/)
20:00:17	320804/320804	---M-Z	200	added ('OK')	text/css	date:Sun,%2013%20Apr%202025%2019:00:15%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1744136022980-ANOATF1QGO585JXXQUQB/static.css	C:/My%20Web%20Sites/squaremoon/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1744136022980-ANOATF1QGO585JXXQUQB/static.css	(from https://www.squaremoon.ie/)
20:00:20	71585/71585	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Apr%202025%2019:00:18%20GMT	https://www.squaremoon.ie/cart	C:/My%20Web%20Sites/squaremoon/www.squaremoon.ie/cart.html	(from https://www.squaremoon.ie/)
20:00:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Apr%202025%2019:00:21%20GMT	http://www.w3.org/2000/svg	C:/My%20Web%20Sites/squaremoon/www.w3.org/2000/svg.12.delayed	(from https://www.squaremoon.ie/)
20:00:22	1515/1515	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2023:44:06%20GMT	https://www.w3.org/2000/svg	C:/My%20Web%20Sites/squaremoon/www.w3.org/2000/svg.html	(from https://www.squaremoon.ie/)
20:00:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Apr%202025%2019:00:23%20GMT	http://www.w3.org/2000/symbol	C:/My%20Web%20Sites/squaremoon/www.w3.org/2000/symbol.14.delayed	(from https://www.squaremoon.ie/)
20:00:24	6803/6803	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202025%2021:48:19%20GMT	https://www.w3.org/2000/symbol	C:/My%20Web%20Sites/squaremoon/www.w3.org/2000/symbol.15.delayed	(from https://www.squaremoon.ie/)
20:00:26	10541/10541	---M--	200	added ('OK')	image/png	etag:CPWJ1frClYkDEAE=	http://images.squarespace-cdn.com/content/v1/5ca59b6651f4d411d495512a/6a730dcc-8afd-4c31-8bbf-478cba6938c0/SquareMoon+Logo+Design+-Website+Final.png?format=1500w	C:/My%20Web%20Sites/squaremoon/images.squarespace-cdn.com/content/v1/5ca59b6651f4d411d495512a/6a730dcc-8afd-4c31-8bbf-478cba6938c0/SquareMoon+Logo+Design+-Website+Final26f7.png	(from https://www.squaremoon.ie/)
20:00:28	122065/122065	---M-Z	200	added ('OK')	text/html	etag:W/%22e1ebbaa773cbf5b614a1bce9b08108a1%22	https://www.squaremoon.ie/contact	C:/My%20Web%20Sites/squaremoon/www.squaremoon.ie/contact.html	(from https://www.squaremoon.ie/)
20:00:31	713735/713735	---M-Z	200	added ('OK')	text/javascript	etag:%22f4a3710f8b3ec5e504707e0bfb94fb54%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-a91c561d0d8ddea5-min.en-US.js	C:/My%20Web%20Sites/squaremoon/assets.squarespace.com/universal/scripts-compressed/common-vendors-a91c561d0d8ddea5-min.en-US.js	(from https://www.squaremoon.ie/)
20:00:34	140433/140433	---M-Z	200	added ('OK')	text/html	etag:W/%223990c68bd6a8e9e932a4306c447ddbe1--gzip%22	https://www.squaremoon.ie/moonies	C:/My%20Web%20Sites/squaremoon/www.squaremoon.ie/moonies.html	(from https://www.squaremoon.ie/)
